ID_Estudiante,Colegio,Localidad,Estrato,Puntaje_Lenguaje,Puntaje_Matematicas,Puntaje_Ciencias,Puntaje_Sociales,Puntaje_Ingles,Acceso_Internet_Hogar,Repitente,Genero,Puntaje_Global
E00000,Colegio_2,Suba,2,67.37703472934001,60.4660995614919,51.96455857348878,53.68548897307126,53.5767139760578,1,1,F,57.413979162689955
E00001,Colegio_15,Los Mártires,3,48.21050263718416,35.58607573778655,51.62946004419979,45.76405993369177,59.04289753258487,0,1,F,48.046599177089426
E00002,Colegio_24,Engativá,4,54.64394306049773,33.202428930279815,49.695704972760375,52.234675341445886,63.42650618771889,0,0,M,50.640651698540545
E00003,Colegio_34,Usaquén,3,45.8403030415578,30.197498593167925,51.425749947674014,56.667102508603726,56.53315687137733,1,1,F,48.132762192476164
E00004,Colegio_4,Fontibón,6,56.00651246227205,45.30095017614864,47.94284450566635,33.56680136840893,45.765001655726536,0,1,F,45.7164220336445
E00005,Colegio_18,Rafael Uribe Uribe,5,61.52330988331932,63.71792692346305,47.255996009080405,64.2649339308451,65.7868936137227,0,0,F,60.50981207208612
E00006,Colegio_25,Ciudad Bolívar,2,57.82074002134679,60.411476484104895,40.9622777351971,55.85766001701327,34.65886326110272,1,1,F,49.94220350375296
E00007,Colegio_24,Puente Aranda,1,37.03165876664224,65.64881996720615,87.67733534209803,35.95140820626516,58.87082412528762,0,1,M,57.036009281499844
E00008,Colegio_6,Barrios Unidos,3,45.52218125288597,52.9725262709199,47.1360247096615,60.05894287533364,58.42048853575917,1,1,F,52.82203272891203
E00009,Colegio_34,Engativá,5,40.864267975512945,53.04552036765883,58.20468790207943,56.2386351318836,50.150337573366876,1,0,F,51.70068979010034
E00010,Colegio_38,Kennedy,5,58.74653239032487,53.35566437420964,40.109212767540356,74.59152658658176,64.97081810631738,1,1,M,58.354750844994804
E00011,Colegio_3,Usme,2,50.28929595187104,49.23439845063373,53.88633346926553,46.46663867896659,60.108684481107,1,1,F,51.997070206368775
E00012,Colegio_19,Teusaquillo,5,58.23703661640524,85.42348505601507,43.73518139866865,22.00413720237235,44.395852782271376,1,0,F,50.75913861114655
E00013,Colegio_36,Suba,3,30.135966945883496,59.62385517186524,46.62502693151798,44.98616035607318,31.27797400608028,0,1,M,42.529796682284044
E00014,Colegio_19,Ciudad Bolívar,6,56.185437617424775,44.67637126856966,46.62195291548518,59.79651321030113,49.09395668452986,0,1,F,51.27484633926211
E00015,Colegio_28,Usaquén,5,42.75140081514229,52.44625658935534,57.87736482619616,56.645306323452346,57.16659860404321,1,1,M,53.37738543163787
E00016,Colegio_10,Usaquén,2,63.56019086646992,65.89674176159116,46.706979342000054,46.893092219542666,52.5353969990559,1,0,M,55.11848023773193
E00017,Colegio_18,Ciudad Bolívar,3,64.25857149630974,31.839343728483044,73.9868487956326,60.07536850389716,63.08580282669331,0,1,M,58.649187070203176
E00018,Colegio_4,Barrios Unidos,5,61.668693614203995,51.81793209297531,56.527674173507336,50.84331905170506,67.12566455049928,1,1,M,57.5966566965782
E00019,Colegio_12,Usaquén,5,66.30393267186025,68.33801224723348,32.305179441653976,32.52412570982891,65.32297714109383,0,1,F,52.95884544233409
E00020,Colegio_27,Kennedy,6,64.72320794089185,62.26505441318675,59.49874074370844,49.4850801065069,45.87682131949959,1,1,F,56.36978090475871
E00021,Colegio_29,Teusaquillo,5,48.79224785031584,49.54784651706423,77.46880925945098,78.95463607396074,49.56381212315563,1,0,M,60.86547036478949
E00022,Colegio_12,Puente Aranda,6,37.65671406655431,65.39329355205437,58.50899434114498,61.503923096861726,69.83642363487937,1,1,F,58.57986973829895
E00023,Colegio_11,Usaquén,3,63.573898654455284,53.73180337084334,60.99885526965654,51.61331906942616,70.05435774733573,1,1,M,59.99444682234341
E00024,Colegio_4,Puente Aranda,3,58.86225653452836,43.24594969343154,51.48672053632814,45.16585365515947,62.65261732823936,1,1,F,52.28267954953738
E00025,Colegio_24,Barrios Unidos,1,27.677474571853693,52.591269067270716,62.421595440596064,54.12212906694672,68.2810308372025,1,1,F,53.01869979677393
E00026,Colegio_26,Rafael Uribe Uribe,3,34.426884635308795,70.89205397944897,66.69033263106616,60.18100448611066,61.459747046161674,0,1,F,58.730004555619246
E00027,Colegio_28,Suba,3,39.471035212009156,60.40986875018521,57.86777052458744,61.77618478782706,77.45127272564324,1,1,M,59.39522640005041
E00028,Colegio_4,La Candelaria,5,54.05301285722941,54.723561014302916,70.96419034923493,53.460111109346236,88.70259754421039,1,1,F,64.38069457486476
E00029,Colegio_36,Puente Aranda,3,38.20460046229694,36.84733857652583,70.66911192859902,67.86200037175854,50.62753425219586,1,0,F,52.84211711827523
E00030,Colegio_15,Suba,5,62.860983098044734,50.835388325775206,60.38816113718738,41.710239395136306,64.83685684775381,1,1,F,56.126325760779494
E00031,Colegio_22,Santa Fe,2,48.8813895627339,64.43771641542187,45.008679518555496,45.019309036567215,26.157179572482693,1,1,F,45.90085482115224
E00032,Colegio_24,Antonio Nariño,3,73.55471208685982,65.85046204123759,48.93862425850358,58.57664608202291,54.08946300409588,1,1,M,60.201981494543965
E00033,Colegio_24,Ciudad Bolívar,3,60.1204803641823,35.01909488807681,58.33211004871868,36.15628851825369,62.394489346142,0,1,M,50.404492633074696
E00034,Colegio_37,Usme,1,53.43434178327237,42.279860549560546,53.50178030883008,38.467700199799154,32.59525184350271,1,0,M,44.055786936992966
E00035,Colegio_5,Barrios Unidos,3,60.06218420693757,51.92777760652416,44.95070708831,65.58551404140138,75.61521242730174,1,1,F,59.628279074094976
E00036,Colegio_6,Kennedy,6,43.801221044372106,50.55662650398352,65.336338227184,57.889577312352436,52.75828346840521,1,1,F,54.06840931125946
E00037,Colegio_10,Teusaquillo,3,72.35201609206648,62.55493977172114,49.5159132330011,49.91944406963045,66.91000322068253,1,1,F,60.25046327742034
E00038,Colegio_3,Sumapaz,5,67.60518505713634,36.25564047541182,42.589381547011705,47.45378481308403,25.46743081320178,0,1,F,43.87428454116913
