"Video URL","User Channel URL","User Name","Comment Text","Number of Likes","Number of Replies","Comment Time","Replies"
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@elizabethvillamizar8615","@elizabethvillamizar8615","Juan tu seriedad al hablar y a aguantar el aire y los olores fuerte es la forma de mostrar solemnidad ante esta práctica que quizás para nosotros sea desagradable pero tú respeto me emociona por esa razón siempre estoy al pendiente de tus videos","701","16","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@diegovolk3335","@diegovolk3335","Es increíble como juan tiene apenas 3millones de seguidores y su contenido es a nivel documental profesional, incluso de los mejores youtubers informados y de mejor calidad audiovisual que hay en habla-hispana, apoyen a planetajuan gente síganlo para que no pare de hacer esta calidad de videos, saludos amigo de cali :)","324","6","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@ranissamiranda5483","@ranissamiranda5483","Soy de Brasil, y aunque no sé mucho español, hablas un español tan claro que lo entiendo como si fuera portugués, así que veo todos tus vídeos 😊","633","27","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@rickyricardo9193","@rickyricardo9193","Saludos Juan soy puertorriqueño radicado en Ocala, Florida USA como Locutor de Radio y Comunicaciones de Medios si estuviera la oportunidad te nombraría para un Pulitzer Award verdaderamente tu calidad de narrativa información es de alto nivel. Mi respetos Juan me saluda a la abuela 😊","39","0","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@JohandrisCampos-s9f","@JohandrisCampos-s9f","Todos pueden ir donde vaya Juan, pero ninguno narra y analiza las cosas como este caballero, ojalá algún día pueda topármelo y no me de pena pedirle una foto 🙏🏻","53","0","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@ara8045","@ara8045","No sé que decir, he quedado realmente asombrada de ver los vídeos de India y Pakistan, son culturas absolutamente diferentes a lo que tenemos en occidente, su comida, creencias, costumbres, viviendas, el día a día, ufff me explotó la cabeza 🤯, eres totalmente respetuoso de todo ello, no gestos, no caras, no.mensajes de asco, realmente @Planetajuan un youtuber con mucho carisma y excelente comunicador.  Gracias por mostrarns sitios tan lejanos🫂","231","3","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@SoyjaimeHT","@SoyjaimeHT","""Polvo eres y en polvo te convertirás"". Juan, Hermano, Usted esta subiendo de nivel con sus videos. Cada vez nos sorprende con aspectos muy interesantes de los destinos que visita.","211","2","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@ManuelRodriguez-km8xj","@ManuelRodriguez-km8xj","Dios mio. Definitivamente no tengo ABSOLUTAMENTE NADA que ir a hacer a la India. Mis respetos totales y absolutos a quienes elijan ese pais como destino turístico.. me considero un aventurero y de hecho, el año pasado fui a Egipto (que es caotico tambien) pero nunca al nivel de la India","339","16","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@dirtyharry1557","@dirtyharry1557","Esta gente tiene que estar inmunizada, porque la cantidad de porquería que tiene que llevar el Ganges no me la puedo ni imaginar.","36","1","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@davidriveros3175","@davidriveros3175","Sabes que pana yo no resisto hay ni un minuto nada más con tocar esa agua descalzo y las cenizas no eso es de valientes hajajaja mis respetos","28","1","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@GracielaDalcin","@GracielaDalcin","Ratas, vacas, monos, muertos, mezclados con comida, aguas sucias de un río que a la vez es sagrado….es mucho!!!! Hay que tener una gran amplitud mental para pasar por todos estos lugares y mantenerse en eje sin desesperar a cada momento. Juan, SOS un ejemplo de ser humano!!!!🇦🇷🇦🇷","176","9","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@Ale-kd1ow","@Ale-kd1ow","Juan, por favor cuídate mucho. Recuerda que las enfermedades no solo vienen en los alimentos contaminados . Gracias  por mostrarnos otras realidades ❤️","170","6","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@azucenalargo2122","@azucenalargo2122","Juan, es admirable la manera en que abordas con tanto respeto y profundidad los temas más sensibles y tabú de distintas culturas. Gracias por compartir este tipo de contenido y  permitirnos conocer el mundo desde una perspectiva tan humana y reflexiva 🙏🏻","136","0","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@mariaangelicaseijasyanes3508","@mariaangelicaseijasyanes3508","Juan, en este video me has hecho sufrir, uno por las imágenes y lo otro, por todo a lo que te expones, Dios te proteja y fortalezca tu sistema inmunológico ...🙏🙏","25","2","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@claudiasantana4215","@claudiasantana4215","Yo soy extremadamente fan de todos tus vídeos, pero debo confesar que esta serie me ha costado verla, tengo que detener los vídeos y verlos por parte. Dios mío que manera de valorar la vida occidental después de ver los vídeos de cómo viven estas personas. Te admiro por el trabajo periodístico que has hecho en estos vídeos, no puedo llamarlo de otra manera. La forma en la que has documentado cada vídeo es admirable.","11","0","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@ByCesarAdolfo","@ByCesarAdolfo","Amigo Planeta Juan … Cuando dejaste de hacer videos de Canadá me dolió el alma 😭😭😭 por que gracias a ti estoy viviendo mi sueño de vivir Aquí  🇨🇦 … pero ahora entiendo que Canadá te quedó chico hermano … tu alma necesitaba conocer el mundo y wooooooow hermano me impactó este video … Eres un comunicador  de corazón ♥️ Gracias por tu trabajo 🙌🏻","145","2","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@yoferchu1","@yoferchu1","Otra cosa: ¿Viste que solo hay hombres en el cortejo fúnebre hacia el río? Muy pocas mujeres pueden acceder, y nunca van las viudas.Esto es porque muchas veces se ""tiraban al fuego"" con su marido. Ya que ser viuda en India, especialmente en las castas más bajas, significa pasar a vivir en la pobreza, muchas veces mendigando, si la familia  del difunto esposo no se hace cargo de vos. Pueden desalojarte de la casa ( que es la casa familiar del marido) y dejarte sin nada.","156","4","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@OlgaCh%C3%A1vez-d2r","@OlgaChávez-d2r","Juan tu viaje por la India, no solo puso a prueba tus sentidos, sino que también tu sistema inmune, ya que mínimo si no tuvieras un sistema inmunológico fuerte 💪, ya te habría dado al menos algún problemilla en la piel o en tu sistema digestivo. 😮 Es impactante ver ésto la verdad.","35","0","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@mabelrodriguez8292","@mabelrodriguez8292","Juan te felicito por el respeto que demostraste ante esa cultura tan lejana a la nuestra. Qué estómago que tenés!!! Te felicito.","9","0","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@Edanargu","@Edanargu","Ese ha sido un video muy difícil de ver. Me ha causado una mezcla de emociones que no me imaginaba. Me sentí ahí dentro, caminado en el agua, oliendo el humo, sintiendo el calor. Me has transportado directamente a ese lugar. Al terminar de verlo dije: Pero que he visto! 
Es una cultura que respeto mucho. Sus creencias, tradiciones y cultura son válidas. Así como las mías también.","4","0","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@AnaMilenaTobon","@AnaMilenaTobon","Juan, he visto videos de la India, pero tu manera y osadia me encantan! Que fuerza moral, que empatia y respeto de tu parte, de tus opiniones  por culturas y religones milenarias tan lejanas de nuestra percepcion,  bravo. Eres unico. Cuidate!","34","0","2 days ago",""
