Colegio,Localidad,Estrato,Puntaje_Lenguaje,Puntaje_Matematicas,Puntaje_Ciencias,Puntaje_Sociales,Puntaje_Ingles,Acceso_Internet_Hogar_x,Repitente,Genero,Puntaje_Global,Poblacion_Total,Ingreso_Promedio,Indice_Pobreza,Tasa_Desempleo,Nivel_Educativo_Promedio,Cobertura_Salud,Indice_Calidad_Vida,Tasa_Asistencia,Horas_Estudio
Colegio_2,Suba,2,67.4,60.5,52.0,53.7,53.6,1,1,F,57.4,829007,2455432,8.3,7.4,10.2,87.3,75.0,84.4,5.2
Colegio_15,Los Mártires,3,48.2,35.6,51.6,45.8,59.0,0,1,F,48.0,324447,1274484,23.8,8.6,9.0,86.0,27.6,98.8,4.9
Colegio_24,Engativá,4,54.6,33.2,49.7,52.2,63.4,0,0,M,50.6,945826,2815166,9.2,8.6,10.2,91.6,85.3,93.3,18.1
Colegio_34,Usaquén,3,45.8,30.2,51.4,56.7,56.5,1,1,F,48.1,342004,3238341,5.0,7.2,10.1,93.8,94.4,90.0,5.0
Colegio_4,Fontibón,6,56.0,45.3,47.9,33.6,45.8,0,1,F,45.7,475856,2414409,10.7,7.7,9.3,88.8,61.6,78.9,5.4
Colegio_18,Rafael Uribe Uribe,5,61.5,63.7,47.3,64.3,65.8,0,0,F,60.5,222600,1728859,20.1,7.0,8.9,84.2,37.8,78.9,15.2
Colegio_25,Ciudad Bolívar,2,57.8,60.4,41.0,55.9,34.7,1,1,F,49.9,633863,1673046,16.4,8.8,9.0,92.3,36.4,76.5,9.0
Colegio_24,Puente Aranda,1,37.0,65.6,87.7,36.0,58.9,0,1,M,57.0,246116,1732058,14.5,8.9,9.4,88.2,41.2,96.7,15.5
Colegio_6,Barrios Unidos,3,45.5,53.0,47.1,60.1,58.4,1,1,F,52.8,246732,2464266,14.4,8.9,10.2,88.7,70.4,90.0,1.3
Colegio_34,Engativá,5,40.9,53.0,58.2,56.2,50.2,1,0,F,51.7,945826,2815166,9.2,8.6,10.2,91.6,85.3,92.7,9.8
Colegio_38,Kennedy,5,58.7,53.4,40.1,74.6,65.0,1,1,M,58.4,1011301,1855181,16.9,8.3,9.3,88.9,49.2,75.5,0.7
Colegio_3,Usme,2,50.3,49.2,53.9,46.5,60.1,1,1,F,52.0,495408,1505279,18.8,9.0,9.8,86.0,41.1,99.2,1.3
Colegio_19,Teusaquillo,5,58.2,85.4,43.7,22.0,44.4,1,0,F,50.8,194327,2990383,5.1,7.0,10.5,94.4,90.1,95.8,18.1
Colegio_36,Suba,3,30.1,59.6,46.6,45.0,31.3,0,1,M,42.5,829007,2455432,8.3,7.4,10.2,87.3,75.0,80.3,2.8
Colegio_19,Ciudad Bolívar,6,56.2,44.7,46.6,59.8,49.1,0,1,F,51.3,633863,1673046,16.4,8.8,9.0,92.3,36.4,79.5,10.6
Colegio_28,Usaquén,5,42.8,52.4,57.9,56.6,57.2,1,1,M,53.4,342004,3238341,5.0,7.2,10.1,93.8,94.4,79.6,8.2
Colegio_10,Usaquén,2,63.6,65.9,46.7,46.9,52.5,1,0,M,55.1,342004,3238341,5.0,7.2,10.1,93.8,94.4,82.6,6.9
Colegio_18,Ciudad Bolívar,3,64.3,31.8,74.0,60.1,63.1,0,1,M,58.6,633863,1673046,16.4,8.8,9.0,92.3,36.4,88.1,18.0
Colegio_4,Barrios Unidos,5,61.7,51.8,56.5,50.8,67.1,1,1,M,57.6,246732,2464266,14.4,8.9,10.2,88.7,70.4,85.8,0.4
Colegio_12,Usaquén,5,66.3,68.3,32.3,32.5,65.3,0,1,F,53.0,342004,3238341,5.0,7.2,10.1,93.8,94.4,82.3,13.3
Colegio_27,Kennedy,6,64.7,62.3,59.5,49.5,45.9,1,1,F,56.4,1011301,1855181,16.9,8.3,9.3,88.9,49.2,90.3,19.3
Colegio_29,Teusaquillo,5,48.8,49.5,77.5,79.0,49.6,1,0,M,60.9,194327,2990383,5.1,7.0,10.5,94.4,90.1,78.5,11.2
Colegio_12,Puente Aranda,6,37.7,65.4,58.5,61.5,69.8,1,1,F,58.6,246116,1732058,14.5,8.9,9.4,88.2,41.2,82.3,18.7
Colegio_11,Usaquén,3,63.6,53.7,61.0,51.6,70.1,1,1,M,60.0,342004,3238341,5.0,7.2,10.1,93.8,94.4,84.2,1.0
Colegio_4,Puente Aranda,3,58.9,43.2,51.5,45.2,62.7,1,1,F,52.3,246116,1732058,14.5,8.9,9.4,88.2,41.2,86.4,8.4
Colegio_24,Barrios Unidos,1,27.7,52.6,62.4,54.1,68.3,1,1,F,53.0,246732,2464266,14.4,8.9,10.2,88.7,70.4,94.6,5.2
